what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1268855778387
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268855778425
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1268855780466
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268855783177
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268855795350
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268855806794
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268855817389
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1268855821455
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1268855821548
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1268855821580
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1268855842214
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268855848869
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268855863237
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1268855868541
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1268855872912
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1268855873281
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268855873810
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1268855874185
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268855874202
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1268855883178
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268855889737
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268855890134
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268855890372
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268855898072
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268855898113
